Subjects,Condition,Trial,Leg,Time,StepLength,StepTime,LeadingLimbAngle,TrailingLimbAngle,PeakPropulsion,PeakBraking,PropulsionImpulse,BrakingImpulse,StepLength_Norm
GR0330,Open Loop - Pre,OpenLoopPre,Right,first30,0.632460877,0.566666667,28.77599176,-16.16957568,0.153497688,-0.203999873,0.033805147,-0.030481825,0.687457475
GR0331,Open Loop - Pre,OpenLoopPre,Right,first30,0.588758972,0.601666667,32.81405298,-21.03225519,0.160100691,-0.084947881,0.036626587,-0.015350459,0.661526935
GR0334,Open Loop - Pre,OpenLoopPre,Right,first30,0.470716616,0.585,34.1685903,-23.57546647,0.251048576,-0.154568675,0.044045776,-0.023989907,0.595843818
GR0335,Open Loop - Pre,OpenLoopPre,Right,first30,0.537444679,0.575666667,30.45215066,-21.31948528,0.215808559,-0.162575609,0.03293378,-0.026681484,0.624935673
GR0336,Open Loop - Pre,OpenLoopPre,Right,first30,0,0,0,0,0,0,0,0,0
MLR049,Open Loop - Pre,OpenLoopPre,Right,first30,0.611601964,0.702333333,39.01688968,-21.58497197,0.207168339,-0.176432107,0.052974616,-0.029983573,0.691857425
MLR050,Open Loop - Pre,OpenLoopPre,Right,first30,0.582772694,0.567,27.08672737,-17.94891191,0.153312631,-0.17409589,0.032833602,-0.026309305,0.653332617
GR0326,Slow,SlowHS,Right,first30,0.576828723,0.652333333,33.86972771,-25.4265568,0.219332253,-0.149231416,0.041776593,-0.030406139,0.703449662
GR0327,Slow,SlowHS,Right,first30,0.424043744,0.508,24.43874446,-23.4489726,0.185007838,-0.148607512,0.026395722,-0.021780994,0.53005468
GR0328,Slow,SlowHS,Right,first30,0.37906321,0.466333333,24.74573191,-20.3482044,0.21208194,-0.180894643,0.027152416,-0.024944644,0.473829013
GR0329,Slow,SlowHS,Right,first30,0.58280148,0.634666667,30.26023584,-22.6122728,0.21208194,-0.180894643,0.027152416,-0.024944644,0.702170458
GR0330,Slow,SlowHS,Right,first30,0.503168648,0.605333333,27.10934498,-24.81206206,0.260711856,-0.115727059,0.043636328,-0.023075827,0.546922443
GR0331,Slow,SlowHS,Right,first30,0.509457367,0.580333333,35.24856084,-22.9517822,0.215059101,-0.111488016,0.035838325,-0.022840808,0.572424008
GR0334,Slow,SlowHS,Right,first30,0.468244462,0.591333333,33.49467823,-26.07206531,0.235306864,-0.112121247,0.040409382,-0.02284868,0.592714509
GR0335,Slow,SlowHS,Right,first30,0.49802861,0.554333333,34.20463249,-20.36642844,0.257676649,-0.154091315,0.037335727,-0.024249994,0.579103035
GR0336,Slow,SlowHS,Right,first30,0.525987342,0.544333333,27.77439909,-26.86256067,0.21269266,-0.188631594,0.035568643,-0.03354365,0.59433598
MLR049,Slow,SlowHS,Right,first30,0.57358713,0.633333333,30.86853662,-20.40395525,0.203889252,-0.183743675,0.042875946,-0.030860654,0.648854219
MLR050,Slow,SlowHS,Right,first30,0.525579084,0.594,27.28468379,-25.06549674,0.211870212,-0.110905434,0.037645074,-0.022143333,0.58921422
GR0326,Accelerate,AcceleratingHS,Left,last30,0.575912193,0.634,30.90618241,-23.28208024,0.126047485,-0.099274976,0.022424646,-0.02363345,0.702331943
GR0327,Accelerate,AcceleratingHS,Left,last30,0.457294917,0.489333333,24.75296846,-19.12776868,0.194348716,-0.120532973,0.021469798,-0.02001602,0.571618646
GR0328,Accelerate,AcceleratingHS,Left,last30,0.452124007,0.471,21.4494769,-16.86542146,0.205636288,-0.114890913,0.021298597,-0.020083154,0.565155009
GR0329,Accelerate,AcceleratingHS,Left,last30,0.62656283,0.647666667,30.96286067,-21.27766141,0.177020711,-0.174570243,0.041621476,-0.027183892,0.754894976
